"","Sum Sq","Df","F value","Pr(>F)"
"emp_Y15_24_NaceB_E",187.485382209684,1,3.72070597246816,0.0673671205424853
"emp_Y25_64_NaceK",2111.99201684235,1,41.9131412713653,2.0480642527973e-06
"emp_Y25_64_NaceL",607.742034171407,1,12.0608305010816,0.00227315199999931
"Residuals",1058.18440251316,21,NA,NA
