"size","max_diss","av_diss","diameter","separation"
4,2.75059831239544,1.83761195088049,4.32444805583526,2.6595078434777
4,2.55997074728621,1.88096009167856,3.73587010022284,2.49401914850613
3,2.09688213794864,1.38147042266442,2.28290919329163,2.30675170349656
3,2.41282844643048,1.48917879518133,2.56208706018856,3.19002043090682
4,3.18451034736701,1.98340940535627,3.18451034736701,2.6595078434777
4,2.8920986441284,1.81052824051732,3.35344229177587,2.30675170349656
2,3.00124738642651,1.50062369321325,3.00124738642651,3.53098718574073
2,3.27145578356278,1.63572789178139,3.27145578356278,3.10339504552675
1,0,0,0,3.7515588075125
1,0,0,0,4.67807361481111
