Concelho;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Belmonte;2;0;6;13;56;64;46;12;44;100;82;78;25;34;48;77;38;32;23;44;44;11;25;24;19;21;13;5;23;17;24
Benavente;2;0;0;0;0;0;3;0;17;1;1;2;0;7;15;68;46;28;51;63;94;27;24;28;17;22;30;20;11;10;10
Bombarral;0;20;9;0;0;0;1;0;2;11;0;5;2;0;9;32;46;64;30;48;55;58;28;35;14;29;30;26;66;23;10
Borba;0;0;4;0;0;0;0;0;0;0;0;0;0;1;16;8;6;4;0;0;0;0;1;0;0;1;2;4;3;1;2
Boticas;8;30;39;15;0;59;42;44;27;75;34;34;42;27;99;81;131;151;184;131;217;156;114;162;104;220;90;126;99;332;92
Braga;5;143;2;26;102;7;0;65;31;358;1;100;86;150;119;353;332;218;350;304;196;279;217;347;140;352;290;179;71;220;181
Bragança;10;22;37;2;26;19;17;27;20;74;47;68;72;27;103;132;122;126;149;134;221;190;142;66;91;101;53;156;104;194;42
Cabeceiras de Basto;45;105;47;10;143;71;10;46;19;186;142;47;81;60;121;184;233;154;262;124;218;248;194;244;129;218;127;93;53;220;122
Cadaval;11;113;19;33;9;5;1;4;20;18;9;12;12;13;91;114;47;55;73;72;111;39;43;33;58;82;44;42;20;32;32
Caldas da Rainha;0;0;0;1;0;0;0;0;8;167;5;8;1;12;23;124;98;124;128;127;131;122;82;55;95;116;55;76;88;45;56
Caminha;6;39;29;17;52;22;9;40;10;92;42;50;84;70;33;125;159;111;68;48;87;53;102;64;67;100;73;60;54;84;154
Campo Maior;0;0;6;0;0;10;9;0;0;0;0;0;0;1;37;15;12;5;4;0;1;0;1;1;1;5;12;13;3;1;4
Cantanhede;0;0;24;20;14;65;47;31;19;58;23;31;34;29;22;51;29;42;23;17;29;25;27;36;36;79;106;32;42;42;46
Carrazeda de Ansiães;0;0;0;5;2;2;6;20;36;71;27;50;37;30;74;89;103;150;146;109;155;140;122;75;67;93;57;62;83;107;51
Carregal do Sal;0;0;20;18;15;40;23;17;12;6;42;108;94;78;81;138;45;58;75;144;98;49;49;40;42;100;34;34;24;21;35
Cartaxo;0;0;0;22;5;1;0;0;40;4;0;2;6;3;17;90;48;44;68;63;68;29;11;16;13;15;26;34;22;15;25
Cascais;0;0;0;0;0;0;6;103;101;87;32;20;39;20;38;39;261;229;297;304;301;142;165;116;176;179;171;146;101;71;110
Castanheira de Pêra;19;2;21;22;15;24;32;14;11;11;0;7;16;12;19;17;4;14;15;14;7;14;5;12;2;14;11;9;9;7;7
Castelo Branco;24;65;19;39;79;63;94;1;116;83;51;123;1;77;108;169;126;58;109;102;103;112;94;84;133;210;123;68;96;61;18
Castelo de Paiva;2;0;2;4;3;4;2;6;8;6;22;18;28;12;16;75;67;48;104;172;183;114;56;42;65;109;45;62;48;71;53
Castelo de Vide;0;0;3;2;0;2;11;0;0;0;0;0;3;3;11;15;10;10;5;3;7;10;6;12;4;3;8;3;4;2;1
Castro Daire;53;27;25;57;93;135;76;66;59;100;102;140;84;145;199;229;162;114;188;139;278;200;136;100;157;323;113;238;172;328;198
Castro Marim;0;0;1;0;0;5;0;0;1;0;0;26;31;13;36;31;28;15;12;16;5;2;13;7;9;11;11;18;21;11;7
Castro Verde;0;0;0;0;0;9;0;0;0;0;0;0;4;1;15;7;7;2;0;0;0;2;0;2;0;2;4;2;3;1;2
Celorico da Beira;8;6;24;6;33;39;12;36;73;156;117;142;131;96;258;140;104;161;149;68;140;55;93;76;29;75;32;64;65;52;65
Celorico de Basto;0;3;7;0;23;0;0;118;9;164;78;59;71;194;142;297;296;122;524;267;301;287;387;422;263;447;139;246;100;317;332
Chamusca;13;0;0;0;1;1;0;8;7;19;7;1;6;4;4;30;16;15;16;18;38;26;29;27;14;15;18;9;8;8;15
Chaves;5;31;47;2;31;6;52;18;7;68;33;73;64;64;200;174;204;211;364;127;288;219;288;104;168;299;157;113;128;305;120
Cinfães;7;0;6;12;58;10;6;31;18;37;42;79;55;209;54;341;277;180;281;120;323;37;121;160;246;490;295;306;194;677;326
Coimbra;5;61;58;43;61;195;153;144;66;58;30;64;81;56;99;167;36;28;95;99;77;98;62;84;44;132;48;97;98;86;52
Condeixa-a-Nova;0;1;20;40;15;47;14;25;10;18;7;17;18;6;9;16;3;7;6;11;27;10;13;15;3;16;19;26;23;11;13
Constância;6;1;0;8;6;2;1;8;12;9;2;10;9;1;3;31;25;26;33;40;37;33;14;15;20;11;9;10;3;3;5
Coruche;52;36;13;29;22;13;17;3;10;16;5;7;17;7;20;79;35;39;41;55;62;39;31;48;34;53;38;28;16;22;20
Covilhã;43;35;22;167;233;325;120;134;126;229;110;103;94;117;198;286;142;91;131;120;38;80;109;119;65;92;51;59;70;91;55
Crato;1;1;5;1;0;4;12;0;0;1;0;0;6;3;19;14;12;14;5;2;4;4;5;5;4;4;7;4;2;2;6
Cuba;0;0;2;4;0;7;0;0;0;0;0;0;0;1;8;4;7;1;0;0;0;2;2;1;1;1;2;1;2;0;1
Elvas;0;0;4;5;0;36;45;0;0;0;0;0;5;1;124;45;46;8;6;5;8;7;3;3;3;6;15;13;3;8;5
Entroncamento;1;3;0;0;0;0;0;1;12;1;0;0;0;1;0;16;13;9;16;12;16;7;5;2;3;6;6;6;1;3;2
Espinho;0;30;21;0;0;0;6;0;1;85;42;71;60;45;47;145;109;58;72;69;67;117;140;70;145;237;113;104;63;132;101
Esposende;0;43;17;0;5;0;0;8;5;77;2;10;19;28;14;109;62;86;100;68;45;30;28;38;53;62;100;53;25;25;33
Estarreja;1;0;0;6;10;16;1;12;23;51;10;52;90;28;31;45;46;40;38;49;51;29;64;37;48;64;36;65;37;57;72
Estremoz;3;5;7;8;0;20;0;0;0;0;0;0;2;0;19;13;11;2;2;0;2;1;3;6;3;1;14;18;9;5;13
Évora;14;0;16;3;0;26;0;0;0;0;0;1;7;4;81;33;27;14;2;5;3;16;12;15;8;11;33;17;23;13;20
Fafe;0;0;0;7;39;0;0;97;9;301;124;95;112;242;175;282;348;254;513;199;438;493;322;568;427;571;251;319;108;371;290
Faro;2;0;0;4;0;18;18;2;4;5;33;81;95;41;29;36;20;9;9;32;21;16;15;13;25;29;63;75;34;60;20
Felgueiras;32;44;16;3;23;5;0;87;6;257;81;208;186;350;154;444;400;302;594;277;507;377;331;462;416;525;314;201;146;518;519
Ferreira do Alentejo;0;0;0;2;0;4;0;0;0;1;0;0;5;1;20;16;10;4;0;0;4;2;5;3;3;7;4;3;4;2;3
Ferreira do Zêzere;3;0;11;20;17;5;8;6;15;20;3;7;1;2;4;23;14;25;17;32;29;36;15;40;29;60;33;17;23;18;17
Figueira da Foz;31;56;30;180;143;256;129;108;75;107;31;82;53;44;55;82;41;58;56;93;134;75;70;68;76;106;65;66;74;62;39
Figueira de Castelo Rodrigo;0;0;5;25;37;13;0;51;101;157;108;78;29;32;182;193;74;85;102;141;137;84;47;93;114;64;53;109;72;98;111
Figueiró dos Vinhos;9;34;22;21;20;65;29;5;13;48;6;14;30;20;60;75;46;21;37;33;59;22;25;29;36;68;25;10;11;9;8
Fornos de Algodres;7;1;8;2;14;25;8;19;32;0;56;45;49;37;70;77;44;55;79;95;93;49;78;69;38;61;32;30;33;26;26
Freixo de Espada à Cinta;0;13;0;0;1;0;1;0;1;0;0;31;22;5;39;73;48;41;81;44;72;88;31;38;44;37;16;26;33;37;17
Fronteira;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;2;2;2;4;0;3;1
Fundão;16;80;16;92;131;198;112;92;112;190;80;145;95;131;148;349;183;88;140;215;246;136;165;128;89;165;71;71;140;130;80
Gavião;0;1;3;7;5;0;2;0;0;0;0;0;0;0;1;11;14;16;16;53;34;13;8;11;10;16;7;5;5;11;6
Góis;10;4;10;20;32;52;39;6;15;15;18;34;27;18;27;38;15;11;15;16;38;9;13;11;14;26;17;10;11;23;10
Golegã;0;0;5;0;6;0;0;0;6;1;0;1;0;0;0;22;4;16;11;12;27;0;3;6;4;6;6;5;1;2;1
Gondomar;0;168;46;33;97;3;0;184;65;637;277;402;376;486;215;464;525;431;721;456;602;598;579;621;302;434;412;371;283;492;554
Gouveia;22;45;22;9;65;123;52;66;78;160;207;191;182;155;325;345;205;195;243;267;245;154;143;131;35;152;102;42;70;60;42
Grândola;10;0;7;7;1;8;0;0;0;0;0;0;8;9;34;43;21;22;14;11;12;20;14;13;24;37;47;50;33;24;16
Guarda;8;9;29;51;96;274;132;125;108;202;123;111;106;101;306;274;208;204;267;211;154;67;145;113;63;131;88;68;120;97;50
Guimarães;0;128;34;25;55;4;0;210;21;986;299;231;395;581;412;773;865;527;1102;648;642;783;712;865;484;769;372;338;155;438;294
Idanha-a-Nova;13;5;0;11;56;62;23;0;57;48;48;70;1;42;60;91;109;41;70;81;52;81;66;55;44;30;21;23;42;35;19
Ílhavo;0;1;6;0;3;4;8;16;19;20;11;48;60;13;41;27;7;4;10;15;63;22;38;14;16;45;30;36;35;22;47
Lagoa;0;1;0;0;0;2;5;1;3;0;18;48;46;12;23;19;17;13;6;24;5;10;9;11;16;20;23;27;25;32;22
Lagos;4;19;2;6;0;21;17;6;5;2;17;36;54;16;20;15;9;15;9;19;7;5;11;8;6;3;19;33;29;28;17
Lamego;18;6;16;45;57;52;18;30;41;113;52;61;87;118;155;199;215;136;228;155;279;240;57;146;167;328;85;189;133;112;76
Leiria;1;0;23;4;2;32;2;1;24;25;25;11;26;154;268;220;143;89;66;114;96;91;95;118;77;199;125;130;108;84;43
Lisboa;92;47;0;16;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;6;1;1;0;0;54;32;5;6;1
Loulé;0;0;0;6;0;50;16;19;9;5;36;112;146;69;53;32;22;19;33;73;20;19;15;30;27;69;134;85;72;95;50
Loures;96;31;17;15;47;0;0;0;0;0;1;15;4;10;18;28;401;245;422;493;654;481;393;415;390;338;214;208;205;161;155
Lourinhã;76;79;0;45;18;0;0;0;8;36;0;3;1;4;73;75;74;53;101;87;216;63;49;39;25;29;35;78;30;36;59
Lousã;66;7;37;43;31;44;42;68;32;56;15;56;48;23;33;57;20;9;46;48;60;35;50;13;9;57;28;20;50;42;27
Lousada;0;0;0;2;0;0;0;55;16;309;110;85;116;218;193;451;426;190;461;189;321;257;228;401;194;415;173;183;170;466;289
Mação;9;31;0;16;6;8;8;8;14;22;10;19;0;13;30;47;15;19;41;54;42;10;20;53;13;36;26;15;12;14;8
Macedo de Cavaleiros;14;3;28;4;3;11;17;22;13;27;18;36;48;23;66;120;96;65;135;95;179;136;65;48;77;107;38;94;85;100;47
Mafra;96;132;18;78;78;0;0;3;167;422;50;19;41;55;115;157;239;348;451;379;559;343;231;235;207;297;141;200;159;109;83
Maia;0;194;0;4;20;1;0;88;42;222;137;221;207;275;175;340;235;249;377;215;296;230;231;404;206;239;279;164;87;198;150
Mangualde;12;1;19;52;45;78;83;64;31;70;65;110;79;115;198;222;125;74;152;143;205;145;143;152;80;157;49;61;60;123;112
Manteigas;14;10;0;21;10;20;11;6;1;8;22;6;8;3;14;18;25;12;11;12;20;20;5;10;5;18;8;7;1;3;1
Marco de Canaveses;0;139;21;15;154;2;0;84;21;476;259;228;164;270;242;505;454;251;436;305;501;343;550;564;402;587;256;285;175;692;519
Marinha Grande;10;12;30;4;30;18;10;7;8;20;13;8;15;44;80;96;27;21;20;29;46;24;35;39;18;38;21;31;24;19;20
Marvão;0;0;0;1;0;3;1;0;0;0;0;0;3;4;0;5;0;5;2;7;5;9;5;18;4;15;10;1;8;12;12
Matosinhos;0;127;0;23;4;0;0;56;15;194;133;238;145;259;91;200;113;173;141;184;152;162;133;145;76;126;158;118;49;73;91
Mealhada;1;1;6;8;39;91;70;22;42;46;11;46;87;21;43;64;28;25;19;27;56;30;27;22;47;57;36;47;31;40;40
Meda;2;0;11;8;25;18;33;56;71;162;121;139;36;44;228;109;91;189;199;140;153;128;85;87;57;89;52;60;59;139;55
Melgaço;6;15;22;10;15;26;1;15;18;94;43;19;40;52;74;123;73;117;42;80;81;78;82;55;69;111;35;62;28;81;24
Mértola;2;5;10;4;0;15;0;4;0;0;0;0;10;7;35;17;18;17;9;5;7;22;32;7;16;23;9;16;11;13;10
Mesão Frio;0;0;17;1;0;7;3;8;0;1;2;1;14;14;22;71;48;48;32;32;25;35;47;9;17;35;19;22;12;44;37
Mira;1;4;1;5;7;40;30;15;13;35;4;22;16;18;20;34;7;5;17;20;20;21;11;11;14;22;11;6;23;7;6
Miranda do Corvo;10;2;24;14;13;46;39;34;26;50;6;30;35;24;61;52;28;21;36;59;72;56;41;33;31;63;42;20;47;69;44
Miranda do Douro;0;22;0;0;0;0;0;1;0;0;0;17;12;7;24;53;15;10;35;23;40;50;21;16;24;31;20;34;23;56;28
Mirandela;1;15;36;0;21;28;26;23;27;34;17;32;34;18;31;81;76;76;121;81;145;126;98;71;82;72;65;95;82;92;71
Mogadouro;0;25;31;1;2;0;8;10;0;3;2;36;27;14;60;106;48;56;87;76;93;95;50;29;50;49;44;98;86;95;43
Moimenta da Beira;10;4;7;14;50;63;13;11;39;79;20;49;40;58;76;89;94;53;110;66;103;69;62;55;72;83;33;56;38;66;31
Moita;2;13;0;15;7;0;0;0;0;0;0;0;2;3;6;75;53;71;141;106;163;48;36;44;44;30;76;50;69;71;66
Monção;28;144;28;63;140;77;17;50;22;208;61;74;56;81;55;158;158;180;196;80;128;110;96;69;175;199;56;95;48;265;291
Monchique;1;49;9;10;2;16;18;13;15;19;9;32;32;34;43;38;15;18;31;42;41;34;40;31;32;27;21;26;23;25;15
Mondim de Basto;4;35;25;11;40;31;16;36;14;70;10;14;44;26;60;116;77;58;158;69;170;119;94;80;64;155;67;35;29;71;69
Monforte;0;0;0;2;0;4;2;0;0;0;0;0;2;0;8;3;8;2;1;0;0;0;0;0;1;0;3;4;0;0;1
Montalegre;26;42;16;9;49;41;18;30;13;92;37;26;18;43;149;184;288;261;317;165;300;259;279;162;192;382;138;232;144;473;170
Montemor-o-Novo;11;0;25;2;0;20;0;0;0;0;0;0;9;0;0;51;36;4;7;6;6;6;8;24;9;12;19;13;11;6;8
Montemor-o-Velho;0;8;23;14;13;51;39;25;12;56;12;32;21;21;76;34;17;12;18;20;49;19;30;19;22;40;66;30;25;41;27
Montijo;12;16;12;0;0;0;0;0;0;1;0;0;1;5;13;71;93;55;148;89;172;101;101;114;130;57;97;98;85;82;53
Mora;5;1;5;0;0;4;2;0;0;1;0;0;4;1;9;10;9;5;4;2;2;3;6;0;3;0;5;9;3;5;3
Mortágua;1;0;5;10;12;3;13;5;9;5;24;18;16;11;16;25;14;14;30;24;25;14;6;9;10;42;15;15;12;13;26
Moura;1;0;0;0;0;18;2;0;0;0;0;0;2;3;28;10;9;9;6;0;2;7;2;5;1;3;4;5;1;2;0
Mourão;0;4;3;2;0;5;0;0;0;0;0;0;0;0;7;4;2;3;1;0;1;1;1;1;0;0;3;2;2;0;2
Murça;13;38;26;4;24;40;8;4;4;57;27;50;44;18;66;81;41;45;106;57;123;133;70;43;58;87;36;37;61;75;40
Murtosa;0;1;0;0;0;0;0;8;7;9;2;7;8;3;10;17;9;3;12;7;10;28;22;18;13;28;18;14;6;15;11
Nazaré;2;0;0;1;2;3;1;1;11;99;3;8;6;4;35;32;23;33;19;54;38;40;30;9;11;45;19;17;26;13;7
Nelas;4;14;6;16;60;53;12;24;9;27;38;42;47;56;91;172;81;106;171;125;101;146;80;90;84;170;56;46;46;66;55
Nisa;0;18;6;0;0;2;14;0;0;0;0;0;13;5;45;24;9;8;8;4;8;9;7;13;5;11;12;4;7;11;2
Óbidos;0;0;7;5;8;0;0;0;1;70;1;0;1;4;22;55;59;73;48;46;74;40;41;32;48;82;20;56;42;34;35
Odemira;1;0;17;2;0;18;11;21;27;4;4;0;30;5;64;78;31;28;51;19;22;35;22;50;39;48;21;32;21;27;20
Odivelas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;256;0;162;139;99;90;102;101;87;102;123
Oeiras;3;7;1;6;42;1;0;0;0;0;0;0;0;1;3;2;213;204;212;160;279;102;78;42;73;38;97;40;44;48;36
Oleiros;17;73;25;51;46;54;36;0;17;24;12;48;1;23;29;35;33;23;27;26;24;36;17;45;5;34;11;18;22;11;8
Olhão;0;0;0;0;0;1;1;1;1;0;23;66;77;34;18;18;26;6;15;25;7;8;12;3;11;19;53;62;47;55;24
Oliveira de Azeméis;1;0;0;1;6;2;13;0;1;95;60;53;116;52;79;141;117;72;125;172;278;210;230;178;149;493;86;110;79;186;354
Oliveira de Frades;12;44;16;44;44;80;36;40;13;33;60;97;76;68;25;80;39;56;17;43;55;104;125;77;93;82;26;63;23;36;79
Oliveira do Bairro;0;9;14;0;0;12;13;8;31;25;4;25;29;13;44;36;13;9;8;16;26;26;32;24;19;63;37;49;40;39;48
Oliveira do Hospital;7;3;34;121;84;203;110;43;42;118;75;105;132;80;63;88;34;31;55;43;49;90;74;51;55;103;58;57;49;78;99
Ourém;26;17;0;15;0;1;16;30;102;12;32;24;32;19;59;272;172;178;167;277;223;111;152;115;113;224;151;90;105;81;40
Ourique;0;7;5;0;0;0;6;18;17;0;3;0;7;2;24;14;18;9;9;3;4;8;6;15;11;12;4;9;10;6;6
Ovar;4;52;13;44;66;113;95;52;74;125;35;81;245;149;145;199;130;108;150;124;120;142;291;205;130;245;59;108;61;111;108
Paços de Ferreira;0;41;7;8;4;1;0;56;32;426;192;215;174;380;266;548;628;381;646;352;396;461;373;642;290;424;253;183;121;545;273
Palmela;1;3;0;5;6;0;0;0;0;0;0;2;16;9;36;122;107;86;172;123;202;77;170;105;110;128;176;133;111;85;102
Pampilhosa da Serra;6;3;16;13;9;21;17;16;7;32;12;38;26;23;10;25;17;20;24;22;38;33;27;19;18;29;9;8;13;13;11
